Vehiculo,Proyecto,EC,Conductor,Puntuacion Seguridad,Total Km,Choques,Somnolencia,Conduccion Distraida,Distancia Seguimiento,Colision Frontal,Obstruccion Camara,Aceleracion Brusca,Frenado Brusco,Giro Brusco,Uso Celular,Sin Cinturon,Excesos Velocidad,Total General
2037,Liverpool Local,EC-01,0,100,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,Liverpool Local,EC-01,0,100,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1832,Liverpool Local,EC-01,0,100,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1897,Liverpool Full,EC-01,0,100,0.071,0,0,0,0,0,0,0,0,0,0,0,0,0
2127,Liverpool Full,EC-01,0,97,1902.667,0,0,1,0,0,0,0,0,0,0,0,0,1
2040,Liverpool Local,EC-01,0,94,562.763,0,0,1,0,0,0,0,0,0,0,2,0,3
1727,Liverpool Local,EC-01,REYALE,83,2319.017,0,0,0,0,0,0,0,0,0,5,9,0,14
2124,Liverpool Full,EC-01,0,81,3842.73,0,2,8,0,0,0,0,0,0,0,15,0,25
1809,Liverpool Local,EC-01,OVAQUI,78,3306.322,0,0,0,0,0,0,0,0,0,13,4,0,17
2128,Liverpool Full,EC-01,VEROD,76,5126.697,0,0,10,0,0,1,0,0,0,20,0,0,31
1896,Liverpool Local,EC-01,0,76,2471.723,0,0,17,0,0,1,0,1,0,0,27,0,46
2131,Liverpool Full,EC-01,0,73,4212.175,0,4,39,0,0,0,0,0,0,0,3,0,46
1833,Liverpool Local,EC-01,ALVGE,73,2022.608,0,0,1,0,0,0,0,0,0,11,4,0,16
2126,Liverpool Full,EC-01,FERRI,73,2285.905,0,2,11,0,0,0,0,0,0,0,6,0,19
2125,Liverpool Full,EC-01,PERANT,72,5517.724,1,0,35,0,0,6,0,1,0,0,25,0,68
1959,Liverpool Full,EC-01,0,70,4017.971,0,0,2,0,0,0,0,0,0,12,36,0,50
2132,Liverpool Full,EC-01,0,66,3095.979,0,0,0,0,0,12,0,0,0,0,0,0,12
2047,Liverpool Local,EC-01,0,65,1329.2,0,0,0,0,0,0,0,0,0,3,20,0,23
2038,Liverpool Local,EC-01,0,64,2235.276,0,0,16,0,0,1,0,0,0,10,11,0,38
2042,Liverpool Local,EC-01,JUAOSC,62,2061.715,0,0,0,0,0,0,0,0,0,3,39,0,42
2129,Liverpool Full,EC-01,0,61,3841.308,0,0,20,0,0,11,0,0,0,6,9,0,46
1884,Liverpool Local,EC-01,ALVGE,59,2874.355,0,0,47,0,0,0,0,0,0,14,10,0,71
1752,Liverpool Local,EC-01,0,58,2318.496,0,1,31,0,0,0,0,0,0,10,13,0,55
2130,Liverpool Full,EC-01,GARAAR01,57,4688.568,0,0,41,0,0,0,0,0,0,18,39,0,98
1751,Liverpool Local,EC-01,MENJUA01,56,2211.444,0,0,7,0,0,3,0,0,0,4,32,0,46
2035,Liverpool Local,EC-01,0,51,33.005,0,0,0,0,0,0,0,0,0,0,1,0,1
1777,Liverpool Local,EC-01,GONAL01,49,3388.78,0,2,20,0,0,0,0,1,0,14,36,0,73
1864,Liverpool Local,EC-01,0,49,1395.683,0,0,5,0,0,1,0,0,0,12,2,0,20
2140,Liverpool Full,EC-01,0,47,2315.184,0,0,0,0,0,12,0,0,0,0,0,0,12
1885,Liverpool Local,EC-01,0,47,2217.438,0,0,31,3,0,0,0,0,0,19,2,0,55
1733,Liverpool Local,EC-01,ESPAL,46,2508.663,0,1,9,0,0,0,0,1,0,18,10,0,39
1837,Liverpool Local,EC-01,JUARAU,44,953.323,0,0,6,0,0,0,0,0,0,4,20,0,30
1838,Liverpool Local,EC-01,0,42,2116.111,0,0,23,0,0,0,0,0,0,14,29,0,66
1823,Liverpool Local,EC-01,0,41,1629.465,0,0,18,0,0,0,0,0,0,9,27,0,54
1958,Liverpool Full,EC-01,0,39,4481.607,0,0,7,0,0,3,0,0,0,34,48,0,92
1805,Liverpool Local,EC-01,0,38,2584.269,0,1,6,0,0,0,0,0,0,19,31,0,57
1802,Liverpool Local,EC-01,GONCES,37,2180.593,0,0,21,0,0,1,0,0,0,18,23,0,63
1807,Liverpool Local,EC-01,SILEL01,35,2591.029,0,0,3,0,0,0,0,0,0,10,50,0,63
1759,Liverpool Local,EC-01,MAREVA,34,1999.254,0,1,11,0,0,1,0,0,0,10,32,0,55
2061,Liverpool Local,EC-01,ARRALD,33,2003.676,0,0,7,0,0,0,0,0,0,15,37,0,59
1836,Liverpool Local,EC-01,0,32,1530.991,0,0,7,0,0,0,0,0,0,16,14,0,37
1788,Liverpool Local,EC-01,GONLEO,26,1894.403,0,1,15,0,0,0,0,0,0,19,14,0,49
2058,Liverpool Local,EC-01,0,11,2034.245,0,0,11,0,0,0,0,1,0,23,36,0,71
2056,Liverpool Local,EC-01,0,5,2041.859,0,0,0,0,0,24,0,0,0,0,0,0,24
2036,Liverpool Local,EC-01,0,1,2661.667,0,0,18,0,0,0,0,0,0,42,34,0,94
1839,Liverpool Local,EC-01,0,0,1023.611,1,0,19,0,0,0,0,0,0,5,1,0,26
